,ApplicationCycle,Ethnicity,AnticipatedCompletionDate,ProgramName,CountryName,ProgramCity,ProgramRegion,ApplicationID,ProgramYear,ProgramTerm,ApplicationStatusAlias,Gender,PreferredGender,AcademicYear,StartYear
1251,Spring 2020,Hispanic (of any race),May 25 2021 12:00AM,IES Abroad Santiago – Health Studies,Chile,Santiago,Latin America and Caribbean,126530,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1252,Spring 2020,International student,May 25 2021 12:00AM,"Arcadia Abroad - SOAS, University of London",United Kingdom,London,Europe,126531,2020,Spring,Intend to Participate,M,NA,2019-2020,2019
1253,Spring 2020,White,May 25 2021 12:00AM,IES Abroad Nantes - Study in Nantes,France,Nantes,Europe,126578,2020,Spring,Intend to Participate,M,NA,2019-2020,2019
1254,Spring 2020,White,May 25 2021 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,126602,2020,Spring,Intend to Participate,M,NA,2019-2020,2019
1255,Spring 2020,White,May 24 2021 12:00AM,Hamilton in Spain,Spain,Madrid,Europe,126634,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1256,Spring 2020,Asian,May 25 2021 12:00AM,IES Abroad Granada - Study in Granada,Spain,Granada,Europe,126653,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1257,Spring 2020,White,May 25 2021 12:00AM,CET Prague Film Production,Czechia,Prague,Europe,126716,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1258,Spring 2020,Two or more races,May 24 2021 12:00AM,"SIT Study Abroad/IHP Health and Community: Globalization, Culture, and Care (Spring)",Argentina,Buenos Aires,Latin America and Caribbean,126798,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1259,Spring 2020,Two or more races,May 24 2021 12:00AM,"SIT Study Abroad/IHP Health and Community: Globalization, Culture, and Care (Spring)",India,Delhi,Asia,126798,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1260,Spring 2020,Two or more races,May 24 2021 12:00AM,"SIT Study Abroad/IHP Health and Community: Globalization, Culture, and Care (Spring)",South Africa,Cape Town,Sub-Saharan Africa,126798,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1261,Spring 2020,Two or more races,May 24 2021 12:00AM,"SIT Study Abroad/IHP Health and Community: Globalization, Culture, and Care (Spring)",United States,"Washington, D.C.",North America,126798,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1262,Spring 2020,Ethnicity and race unknown,May 25 2021 12:00AM,"SIT Study Abroad Ghana: Globalization, Cultural Legacies & the Afro-Chic",Ghana,Accra,Sub-Saharan Africa,126807,2020,Spring,Intend to Participate,M,NA,2019-2020,2019
1263,Spring 2020,White,May 25 2021 12:00AM,"IES Abroad London Direct Enrollment – Queen Mary, University of London",United Kingdom,London,Europe,126856,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1264,Spring 2020,White,May 25 2021 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,126885,2020,Spring,Intend to Participate,M,NA,2019-2020,2019
1265,Spring 2020,International student,May 25 2021 12:00AM,IES Abroad Berlin - Language & Area Studies,Germany,Berlin,Europe,126900,2020,Spring,Intend to Participate,M,NA,2019-2020,2019
1266,Spring 2020,White,May 24 2021 12:00AM,IES Abroad Amsterdam - Psychology & Sciences,Netherlands,Amsterdam,Europe,126945,2020,Spring,Intend to Participate,M,NA,2019-2020,2019
1267,Spring 2020,White,May 25 2021 12:00AM,Trinity College in Rome,Italy,Rome,Europe,127107,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1268,Spring 2020,Hispanic (of any race),May 25 2021 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,127130,2020,Spring,Intend to Participate,M,NA,2019-2020,2019
1269,Spring 2020,International student,May 25 2021 12:00AM,IES Abroad Quito Direct Enrollment - Universidad San Francisco de Quito,Ecuador,Quito,Latin America and Caribbean,127168,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1270,Spring 2020,International student,May 25 2021 12:00AM,CET Prague,Czechia,Prague,Europe,127245,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1271,Spring 2020,White,May 25 2021 12:00AM,Institute for Central American Development Studies - Field Program in Environment & Sustainable Development,Costa Rica,San Jose,Latin America and Caribbean,127301,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1272,Spring 2020,White,Dec 17 2021 12:00AM,Trinity College in Rome,Italy,Rome,Europe,127352,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1273,Spring 2020,International student,May 25 2021 12:00AM,IES Abroad Vienna - Psychology & Social Sciences,Austria,Vienna,Europe,127445,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1274,Spring 2020,White,Dec 18 2020 12:00AM,CET Prague Film Production,Czechia,Prague,Europe,133768,2020,Spring,Intend to Participate,M,NA,2019-2020,2019
1275,Spring 2020,Black or African-American,May 25 2021 12:00AM,IES Abroad Berlin - Language & Area Studies,Germany,Berlin,Europe,141623,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1276,Spring 2020,White,May 25 2021 12:00AM,The School for Field Studies - Bhutan: Himalayan Environment and Society in Transition,Bhutan,Paro,Asia,161805,2020,Spring,Intend to Participate,M,NA,2019-2020,2019
1277,Spring 2020,Ethnicity and race unknown,May 25 2021 12:00AM,IES Abroad Freiburg - Language & Area Studies,Germany,Freiburg im Breisgau,Europe,172713,2020,Spring,Intend to Participate,F,NA,2019-2020,2019
1278,Spring 2021,White,May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,171646,2021,Spring,Intend to Participate,F,NA,2020-2021,2020
1279,Spring 2021,White,May 23 2022 12:00AM,"CIEE Arts and Sciences Program in Tokyo, Japan",Japan,Tokyo,Asia,172718,2021,Spring,Intend to Participate,F,NA,2020-2021,2020
1280,Spring 2021,White,May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,179622,2021,Spring,Intend to Participate,F,NA,2020-2021,2020
1281,Spring 2021,Ethnicity and race unknown,May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,179711,2021,Spring,Intend to Participate,F,NA,2020-2021,2020
1282,Spring 2021,White,May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,180705,2021,Spring,Intend to Participate,F,NA,2020-2021,2020
1283,Spring 2021,White,May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,181042,2021,Spring,Intend to Participate,M,NA,2020-2021,2020
1284,Spring 2021,White,May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,181487,2021,Spring,Intend to Participate,F,NA,2020-2021,2020
1285,Spring 2021,Hispanic (of any race),May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,185339,2021,Spring,Intend to Participate,M,NA,2020-2021,2020
1286,Spring 2021,Black or African-American,May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,185352,2021,Spring,Intend to Participate,F,NA,2020-2021,2020
1287,Spring 2021,International student,May 23 2022 12:00AM,"CIEE Arts and Sciences Program in Tokyo, Japan",Japan,Tokyo,Asia,185443,2021,Spring,Intend to Participate,M,NA,2020-2021,2020
1288,Spring 2021,International student,May 22 2023 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,198757,2021,Spring,Intend to Participate,M,NA,2020-2021,2020
1289,Spring 2021,International student,May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,198915,2021,Spring,Intend to Participate,F,NA,2020-2021,2020
1290,Spring 2021,Asian,May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,199641,2021,Spring,Intend to Participate,F,NA,2020-2021,2020
1291,Spring 2022,International student,May 22 2023 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,168413,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1292,Spring 2022,International student,May 23 2022 12:00AM,Budapest Semesters in Math,Hungary,Budapest,Europe,172715,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1293,Spring 2022,White,May 23 2022 12:00AM,"CIEE Arts and Sciences Program in Seoul, Korea","Korea, South ",Seoul,Asia,172717,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1294,Spring 2022,White,May 22 2023 12:00AM,X - The School for Field Studies (SFS) Costa Rica - Sustainable Development Studies (Semester),Costa Rica,Atenas,Latin America and Caribbean,173291,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1295,Spring 2022,International student,May 22 2023 12:00AM,X - The Swedish Program: Liberal Arts at the Stockholm School of Economics,Sweden,Stockholm,Europe,177002,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1296,Spring 2022,Hispanic (of any race),May 23 2022 12:00AM,"SIT Study Abroad/IHP Health and Community: Globalization, Culture, and Care (Spring)",Argentina,Buenos Aires,Latin America and Caribbean,180537,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1297,Spring 2022,Hispanic (of any race),May 23 2022 12:00AM,"SIT Study Abroad/IHP Health and Community: Globalization, Culture, and Care (Spring)",India,Delhi,Asia,180537,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1298,Spring 2022,Hispanic (of any race),May 23 2022 12:00AM,"SIT Study Abroad/IHP Health and Community: Globalization, Culture, and Care (Spring)",South Africa,Cape Town,Sub-Saharan Africa,180537,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1299,Spring 2022,Hispanic (of any race),May 23 2022 12:00AM,"SIT Study Abroad/IHP Health and Community: Globalization, Culture, and Care (Spring)",United States,"Washington, D.C.",North America,180537,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1300,Spring 2022,White,Dec 16 2022 12:00AM,IES Abroad Nantes - Study in Nantes,France,Nantes,Europe,183908,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1301,Spring 2022,White,May 23 2022 12:00AM,IES Abroad Salamanca - Study in Salamanca,Spain,Salamanca,Europe,185031,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1302,Spring 2022,Asian,May 22 2023 12:00AM,IES Abroad Amsterdam - Social Sciences & Humanities,Netherlands,Amsterdam,Europe,185295,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1303,Spring 2022,White,May 23 2022 12:00AM,IES Abroad Granada - Study in Granada,Spain,Granada,Europe,185595,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1304,Spring 2022,International student,Dec 16 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,186230,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1305,Spring 2022,Two or more races,May 22 2023 12:00AM,Organization for Tropical Studies (OTS): African Ecology and Conservation Semester in South Africa,South Africa,Phalaborwa,Sub-Saharan Africa,186395,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1306,Spring 2022,Black or African-American,May 23 2022 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,189924,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1307,Spring 2022,International student,Dec 16 2022 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,193555,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1308,Spring 2022,White,May 23 2022 12:00AM,Grinnell in London,United Kingdom,London,Europe,198888,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1310,Spring 2022,White,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,203829,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1312,Spring 2022,Ethnicity and race unknown,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,203836,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1314,Spring 2022,White,May 22 2023 12:00AM,IES Abroad Freiburg - Language & Area Studies,Germany,Freiburg im Breisgau,Europe,204635,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1315,Spring 2022,White,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,204772,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1317,Spring 2022,White,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,204977,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1319,Spring 2022,White,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,204986,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1321,Spring 2022,White,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,205618,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1323,Spring 2022,White,May 22 2023 12:00AM,IES Abroad Freiburg - Language & Area Studies,Germany,Freiburg im Breisgau,Europe,205776,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1324,Spring 2022,Asian,May 22 2023 12:00AM,IES Abroad Santiago – Health Studies,Chile,Santiago,Latin America and Caribbean,205881,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1325,Spring 2022,Ethnicity and race unknown,May 22 2023 12:00AM,Amideast in Morocco - Regional Studies in French (Semester/Academic Year),Morocco,Rabat,MENA,205890,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1326,Spring 2022,White,May 22 2023 12:00AM,IES Abroad Santiago – Health Studies,Chile,Santiago,Latin America and Caribbean,206093,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1327,Spring 2022,White,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,206191,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1329,Spring 2022,Black or African-American,May 22 2023 12:00AM,IES Abroad Amsterdam - Psychology & Sciences,Netherlands,Amsterdam,Europe,206274,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1330,Spring 2022,Ethnicity and race unknown,May 22 2023 12:00AM,Consortium for Advanced Studies Abroad (CASA) Seville,Spain,Sevilla,Europe,206759,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1331,Spring 2022,White,May 20 2024 12:00AM,Grinnell in London,United Kingdom,London,Europe,206780,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1333,Spring 2022,White,May 22 2023 12:00AM,IES Abroad Freiburg - Language & Area Studies,Germany,Freiburg im Breisgau,Europe,206992,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1334,Spring 2022,White,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,207013,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1336,Spring 2022,Two or more races,May 22 2023 12:00AM,X - IES Abroad Dublin - Irish Studies,Ireland,Dublin,Europe,207056,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1337,Spring 2022,White,May 22 2023 12:00AM,Institute for Central American Development Studies - Field Program in Environment & Sustainable Development,Costa Rica,San Jose,Latin America and Caribbean,207114,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1338,Spring 2022,Black or African-American,May 22 2023 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,207207,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1339,Spring 2022,Hispanic (of any race),May 22 2023 12:00AM,IES Abroad Berlin - Metropolitan & Urban Studies,Germany,Berlin,Europe,207304,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1340,Spring 2022,White,May 22 2023 12:00AM,The School for Field Studies - Marine Resource Management Studies,Turks and Caicos Islands,Grand Turk,Latin America and Caribbean,207326,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1341,Spring 2022,Ethnicity and race unknown,Dec 15 2023 12:00AM,Consortium for Advanced Studies Abroad (CASA) Trinity College Dublin,Ireland,Dublin,Europe,207366,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1342,Spring 2022,Hispanic (of any race),May 20 2024 12:00AM,Grinnell in London,United Kingdom,London,Europe,207394,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1344,Spring 2022,Ethnicity and race unknown,May 22 2023 12:00AM,Amideast in Morocco - Regional Studies in French (Semester/Academic Year),Morocco,Rabat,MENA,207434,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1345,Spring 2022,White,May 22 2023 12:00AM,Institute for Central American Development Studies - Field Program in Environment & Sustainable Development,Costa Rica,San Jose,Latin America and Caribbean,207463,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1346,Spring 2022,White,May 22 2023 12:00AM,College Year in Athens - Semester and Academic Year Program,Greece,Athens,Europe,207487,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1347,Spring 2022,International student,May 22 2023 12:00AM,National Theater Institute,United States,"Waterford, CT",North America,207550,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1348,Spring 2022,International student,May 22 2023 12:00AM,IES Abroad European Union,Germany,Freiburg im Breisgau,Europe,207571,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1349,Spring 2022,Asian,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,207620,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1351,Spring 2022,White,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,207622,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1353,Spring 2022,White,May 22 2023 12:00AM,"X - SIT Study Abroad Mongolia and Siberia:  Nomadism, Geopolitics, and the Environment",Mongolia,Ulaanbaatar,Asia,207633,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1354,Spring 2022,White,May 22 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,207652,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1356,Spring 2022,Two or more races,May 22 2023 12:00AM,X - IES Abroad Barcelona - Arts & Culture,Spain,Barcelona,Europe,207698,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1357,Spring 2022,International student,May 22 2023 12:00AM,Leiden University College,Netherlands,The Hague,Europe,207792,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1358,Spring 2022,White,May 22 2023 12:00AM,Institute for Central American Development Studies - Social Justice & Development Internship,Costa Rica,San Jose,Latin America and Caribbean,207830,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1359,Spring 2022,Hispanic (of any race),May 22 2023 12:00AM,IES Abroad Santiago – Health Studies,Chile,Santiago,Latin America and Caribbean,207884,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1360,Spring 2022,Hispanic (of any race),May 22 2023 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,207914,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1361,Spring 2022,Asian,Dec 15 2023 12:00AM,X - IES Abroad Dublin – Writer's Program,Ireland,Dublin,Europe,207956,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1362,Spring 2022,Hispanic (of any race),May 22 2023 12:00AM,The School for Field Studies - Marine Resource Management Studies,Turks and Caicos Islands,Grand Turk,Latin America and Caribbean,208111,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1363,Spring 2022,White,May 22 2023 12:00AM,Leiden University College,Netherlands,The Hague,Europe,208246,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1364,Spring 2022,Ethnicity and race unknown,May 22 2023 12:00AM,IES Abroad Granada - Study in Granada,Spain,Granada,Europe,208398,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1365,Spring 2022,Two or more races,May 22 2023 12:00AM,Consortium for Advanced Studies Abroad (CASA) Trinity College Dublin,Ireland,Dublin,Europe,208445,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1366,Spring 2022,White,May 20 2024 12:00AM,Grinnell in London,United Kingdom,London,Europe,208675,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1368,Spring 2022,White,May 22 2023 12:00AM,Hamilton in France,France,Paris,Europe,208702,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1369,Spring 2022,International student,May 22 2023 12:00AM,Consortium for Advanced Studies Abroad (CASA) Trinity College Dublin,Ireland,Dublin,Europe,208919,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1370,Spring 2022,White,May 22 2023 12:00AM,CET Prague Film Production,Czechia,Prague,Europe,209000,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1371,Spring 2022,White,May 22 2023 12:00AM,X - SFS Kenya: Wildlife and Human Dimensions of Conservation,Kenya,Rift Valley,Sub-Saharan Africa,209062,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1372,Spring 2022,Asian,May 22 2023 12:00AM,College Year in Athens - Semester and Academic Year Program,Greece,Athens,Europe,209086,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1373,Spring 2022,White,May 22 2023 12:00AM,X - The School for Field Studies (SFS) Costa Rica - Sustainable Development Studies (Semester) (Duplicate 1),Costa Rica,Atenas,Latin America and Caribbean,209148,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1374,Spring 2022,White,May 22 2023 12:00AM,Arcadia Abroad - Queens University Belfast,United Kingdom,Belfast,Europe,209271,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1375,Spring 2022,Hispanic (of any race),May 22 2023 12:00AM,American University - Washington Semester Program,United States,"Washington, D.C.",North America,209531,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1376,Spring 2022,White,May 22 2023 12:00AM,X - Arcadia Abroad - University of Glasgow,United Kingdom,Glasgow,Europe,209564,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1377,Spring 2022,White,Dec 16 2022 12:00AM,IES Abroad Freiburg - Language & Area Studies,Germany,Freiburg im Breisgau,Europe,209737,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1378,Spring 2022,White,Dec 15 2023 12:00AM,Grinnell in London,United Kingdom,London,Europe,209831,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1380,Spring 2022,International student,May 22 2023 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,209995,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1381,Spring 2022,White,May 23 2022 12:00AM,X - SRAS Ukraine: Identity & Conflict in the Post-Soviet Space in Kyiv,Ukraine,Kyiv,Europe,210016,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1382,Spring 2022,Hispanic (of any race),May 20 2024 12:00AM,Grinnell in London,United Kingdom,London,Europe,210065,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1384,Spring 2022,White,May 22 2023 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,210084,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1385,Spring 2022,White,May 22 2023 12:00AM,Dickinson in France,France,Toulouse,Europe,210223,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1386,Spring 2022,Ethnicity and race unknown,May 22 2023 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,210327,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1387,Spring 2022,Ethnicity and race unknown,May 22 2023 12:00AM,Consortium for Advanced Studies Abroad (CASA) Trinity College Dublin,Ireland,Dublin,Europe,210386,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1388,Spring 2022,White,May 22 2023 12:00AM,Wellesley-in-Aix,France,Aix-en-Provence,Europe,210436,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1389,Spring 2022,International student,May 22 2023 12:00AM,Consortium for Advanced Studies Abroad (CASA) Trinity College Dublin,Ireland,Dublin,Europe,213783,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1390,Spring 2022,Asian,May 22 2023 12:00AM,American University - Washington Semester Program,United States,"Washington, D.C.",North America,216404,2022,Spring,Intend to Participate,F,NA,2021-2022,2021
1391,Spring 2022,International student,May 22 2023 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,220854,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1392,Spring 2022,International student,May 22 2023 12:00AM,Leiden University College,Netherlands,The Hague,Europe,220972,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1393,Spring 2022,White,May 22 2023 12:00AM,Consortium for Advanced Studies Abroad (CASA) Trinity College Dublin,Ireland,Dublin,Europe,221471,2022,Spring,Intend to Participate,M,NA,2021-2022,2021
1394,Spring 2023,International student,Dec 20 2024 12:00AM,Japan Study at Waseda University (Earlham College),Japan,Tokyo,Asia,222550,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1395,Spring 2023,White,May 20 2024 12:00AM,Grinnell in London,United Kingdom,London,Europe,224439,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1397,Spring 2023,Asian,May 20 2024 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,225437,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1398,Spring 2023,Black or African-American,May 20 2024 12:00AM,"CIEE Arts and Sciences Program in Seoul, Korea","Korea, South ",Seoul,Asia,225938,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1399,Spring 2023,White,May 20 2024 12:00AM,Grinnell in London,United Kingdom,London,Europe,226655,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1401,Spring 2023,International student,May 20 2024 12:00AM,Grinnell in London,United Kingdom,London,Europe,226963,2023,Spring,Intend to Participate,M,NA,2022-2023,2022
1403,Spring 2023,International student,May 20 2024 12:00AM,X - Middlebury California Climate Semester,United States,Monterey,North America,227138,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1404,Spring 2023,White,May 20 2024 12:00AM,Consortium for Advanced Studies Abroad (CASA) Trinity College Dublin,Ireland,Dublin,Europe,227256,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1405,Spring 2023,White,May 20 2024 12:00AM,IES Abroad Tokyo - Language & Culture,Japan,Tokyo,Asia,227385,2023,Spring,Intend to Participate,M,NA,2022-2023,2022
1406,Spring 2023,White,May 20 2024 12:00AM,Grinnell in London,United Kingdom,London,Europe,227393,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1408,Spring 2023,White,May 20 2024 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,228500,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1409,Spring 2023,Hispanic (of any race),May 20 2024 12:00AM,IFSA - IFSA Merida Universities Program,Mexico,Merida,Latin America and Caribbean,229530,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1410,Spring 2023,White,Dec 15 2023 12:00AM,X - Arcadia University - University of St Andrews,United Kingdom,St Andrews,Europe,229564,2023,Spring,Intend to Participate,M,NA,2022-2023,2022
1411,Spring 2023,Black or African-American,May 20 2024 12:00AM,The Swedish Program,Sweden,Stockholm,Europe,229683,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1412,Spring 2023,White,May 20 2024 12:00AM,Hamilton in France,France,Paris,Europe,230091,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1413,Spring 2023,White,May 20 2024 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,230336,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1414,Spring 2023,Asian,May 20 2024 12:00AM,Arcadia Abroad - University of Oxford,United Kingdom,Oxford,Europe,230412,2023,Spring,Intend to Participate,F,NA,2022-2023,2022
1415,Spring 2023,White,May 20 2024 12:00AM,The School for Field Studies - Rainforest to Reef (Australia),Australia,Atherton,Oceania,230616,2023,Spring,Intend to Participate,M,NA,2022-2023,2022
1416,Spring 2023,White,May 20 2024 12:00AM,X - Syracuse University Abroad in Florence,Italy,Florence,Europe,230779,2023,Spring,Intend to Participate,M,NA,2022-2023,2022
